date,open,high,low,close,volume
20210217,697.65,703.4,687.5,696.8,1323294
20210218,700.0,711.0,694.0,697.75,1132880
20210219,696.0,696.0,656.15,670.7,1387571
20210222,672.9,697.2,671.25,684.55,1363180
20210223,689.6,735.95,682.25,729.3,1460360
20210224,735.0,744.9,722.1,727.7,540770
20210225,735.2,752.95,731.95,742.9,1383163
20210226,725.0,741.6,711.4,715.15,1240570
20210301,724.0,738.2,711.5,730.4,1214854
20210302,730.45,739.75,724.5,735.5,980753
20210303,741.0,782.5,741.0,777.15,1274607
20210304,751.0,766.85,743.9,757.95,1304934
20210305,748.5,756.0,727.15,733.3,1159474
20210308,743.95,750.5,735.05,737.25,997107
20210309,745.0,750.9,702.4,706.75,1229474
20210310,714.9,729.8,703.1,724.5,1298500
20210312,740.0,745.0,714.05,719.95,1198521
20210315,722.0,738.85,715.1,736.4,1235094
20210316,740.1,740.1,719.45,724.05,1071484
20210317,724.95,725.95,700.7,704.4,1149632
20210318,716.25,722.75,698.5,704.85,1220388
20210319,702.75,736.75,681.8,733.0,1520208
20210322,731.1,745.65,725.0,743.5,1091177
20210323,746.0,749.4,733.45,741.15,974920
20210324,731.0,732.0,698.95,702.8,1231068
20210325,710.1,730.55,688.35,723.15,1396340
20210326,730.4,774.75,725.4,766.85,1366423
20210330,780.0,804.9,779.35,800.0,1172384
20210331,794.0,823.45,790.25,811.85,1321991
20210401,821.0,868.45,819.0,863.05,1587259
20210405,862.0,877.7,837.4,867.75,1206347
20210406,875.5,882.45,858.15,862.85,1258263
20210407,869.5,885.0,864.65,874.85,1008850
20210408,884.0,953.25,883.45,918.4,1294050
20210409,921.95,929.9,886.35,899.5,1342243
20210412,878.0,892.9,843.35,851.55,1083368
20210413,860.8,881.45,849.0,879.0,1254133
20210415,892.75,911.5,879.95,898.2,1051260
20210416,902.95,914.4,886.25,890.25,1122901
20210419,869.75,899.0,860.0,888.05,1156690
